crn	report_month	creditlimit	date_closed	date_opened	datereported_trades	dpd_string	pay_hist_end_date	pay_hist_start_date	sanction_amount	out_standing_balance	over_due_amount	emi	high_credit_amount	tu_score	last_payment_date	loan_type_new	loan_status	loan_classification	ownership_type	sector	payhist_1	payhist_2	payhist_3	payhist_4	payhist_5	payhist_6	payhist_7	payhist_8	payhist_9	payhist_10	payhist_11	payhist_12	payhist_13	payhist_14	payhist_15	payhist_16	payhist_17	payhist_18	payhist_19	payhist_20	payhist_21	payhist_22	payhist_23	payhist_24	payhist_25	payhist_26	payhist_27	payhist_28	payhist_29	payhist_30	payhist_31	payhist_32	payhist_33	payhist_34	payhist_35	payhist_36	dt1	dt2	dt3	dt4	dt5	dt6	dt7	dt8	dt9	dt10	dt11	dt12	dt13	dt14	dt15	dt16	dt17	dt18	dt19	dt20	dt21	dt22	dt23	dt24	dt25	dt26	dt27	dt28	dt29	dt30	dt31	dt32	dt33	dt34	dt35	dt36	max_dpd	max_dpd_date	months_since_max_dpd
100070028	202601	NULL	2025-05-15	2025-02-06	2025-05-31	000000000000	2025-02-01	2025-05-01	9600	0	0	1504	9600	765	NULL	Personal Loan	Closed	000	Individual	NOT DISCLOSED	RL	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	2022-12-31 00:00:00	2022-11-30 00:00:00	2022-10-31 00:00:00	2022-09-30 00:00:00	2022-08-31 00:00:00	2022-07-31 00:00:00	2022-06-30 00:00:00	2022-05-31 00:00:00	0	2025-04-30 00:00:00	8	
100070028	202601	NULL	2025-07-10	2025-05-15	2025-07-15	000000000	2025-05-01	2025-07-01	50000	0	0	6187	50000	765	2025-07-10	Short Term Personal Loan	Closed	000	Individual	NOT DISCLOSED	RL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	2022-12-31 00:00:00	2022-11-30 00:00:00	2022-10-31 00:00:00	2022-09-30 00:00:00	2022-08-31 00:00:00	2022-07-31 00:00:00	0	2025-06-30 00:00:00	6	
100070028	202601	NULL	2025-07-15	2023-05-31	2025-08-31	000000000000000000000000000000000000000000000000000000000000000000000000000000	2023-07-01	2025-08-01	66126	0	0	NULL	66126	765	NULL	Personal Loan	Closed	000	Individual	NOT DISCLOSED	RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	2022-12-31 00:00:00	2022-11-30 00:00:00	2022-10-31 00:00:00	2022-09-30 00:00:00	2022-08-31 00:00:00	0	2025-07-31 00:00:00	5	
100070028	202601	NULL	2025-08-08	2024-08-15	2025-10-15	000000000000000000000000000000000000000000000	2024-08-01	2025-10-01	166767	0	0	6743	166767	765	2025-08-08	Personal Loan	Closed	000	Individual	NOT DISCLOSED	RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	2022-12-31 00:00:00	2022-11-30 00:00:00	2022-10-31 00:00:00	0	2025-09-30 00:00:00	3	
100070028	202601	NULL	2025-12-15	2023-01-26	2025-12-15	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2023-01-01	2025-12-01	8000	0	0	NULL	8000	765	NULL	Consumer Loan	Live	000	Individual	NOT DISCLOSED	RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	2022-12-31 00:00:00	0	2025-11-30 00:00:00	1	
100070028	202601	NULL	2025-12-15	2023-01-26	2025-12-15	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2023-01-01	2025-12-01	32000	0	0	NULL	32000	765	NULL	Consumer Loan	Live	000	Individual	NOT DISCLOSED	RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	2022-12-31 00:00:00	0	2025-11-30 00:00:00	1	
100070028	202601	118000	NULL	2023-01-28	2025-12-15	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	2023-02-01	2025-12-01	118000	115686	0	NULL	123074	765	2025-12-06	Credit Card	Live	000	Individual	NOT DISCLOSED	RL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NULL	2025-11-30 00:00:00	2025-10-31 00:00:00	2025-09-30 00:00:00	2025-08-31 00:00:00	2025-07-31 00:00:00	2025-06-30 00:00:00	2025-05-31 00:00:00	2025-04-30 00:00:00	2025-03-31 00:00:00	2025-02-28 00:00:00	2025-01-31 00:00:00	2024-12-31 00:00:00	2024-11-30 00:00:00	2024-10-31 00:00:00	2024-09-30 00:00:00	2024-08-31 00:00:00	2024-07-31 00:00:00	2024-06-30 00:00:00	2024-05-31 00:00:00	2024-04-30 00:00:00	2024-03-31 00:00:00	2024-02-29 00:00:00	2024-01-31 00:00:00	2023-12-31 00:00:00	2023-11-30 00:00:00	2023-10-31 00:00:00	2023-09-30 00:00:00	2023-08-31 00:00:00	2023-07-31 00:00:00	2023-06-30 00:00:00	2023-05-31 00:00:00	2023-04-30 00:00:00	2023-03-31 00:00:00	2023-02-28 00:00:00	2023-01-31 00:00:00	2022-12-31 00:00:00	0	2025-11-30 00:00:00	1	
100070028	202601	NULL	2022-04-10	2021-08-20	2022-05-31	000000000000000000000000000000	2021-08-01	2022-05-01	16600	0	0	1384	16600	765	2022-03-02	Consumer Loan	Closed	000	Individual	NOT DISCLOSED	RL	0	0	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2022-04-30 00:00:00	2022-03-31 00:00:00	2022-02-28 00:00:00	2022-01-31 00:00:00	2021-12-31 00:00:00	2021-11-30 00:00:00	2021-10-31 00:00:00	2021-09-30 00:00:00	2021-08-31 00:00:00	2021-07-31 00:00:00	2021-06-30 00:00:00	2021-05-31 00:00:00	2021-04-30 00:00:00	2021-03-31 00:00:00	2021-02-28 00:00:00	2021-01-31 00:00:00	2020-12-31 00:00:00	2020-11-30 00:00:00	2020-10-31 00:00:00	2020-09-30 00:00:00	2020-08-31 00:00:00	2020-07-31 00:00:00	2020-06-30 00:00:00	2020-05-31 00:00:00	2020-04-30 00:00:00	2020-03-31 00:00:00	2020-02-29 00:00:00	2020-01-31 00:00:00	2019-12-31 00:00:00	2019-11-30 00:00:00	2019-10-31 00:00:00	2019-09-30 00:00:00	2019-08-31 00:00:00	2019-07-31 00:00:00	2019-06-30 00:00:00	2019-05-31 00:00:00	0	2022-04-30 00:00:00	44	
100070028	202601	NULL	2022-06-23	2021-11-17	2022-06-30	000000000000000000000000	2021-11-01	2022-06-01	268000	0	0	NULL	268000	765	2022-06-23	Personal Loan	Closed	000	Individual	NOT DISCLOSED	RL	0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2022-05-31 00:00:00	2022-04-30 00:00:00	2022-03-31 00:00:00	2022-02-28 00:00:00	2022-01-31 00:00:00	2021-12-31 00:00:00	2021-11-30 00:00:00	2021-10-31 00:00:00	2021-09-30 00:00:00	2021-08-31 00:00:00	2021-07-31 00:00:00	2021-06-30 00:00:00	2021-05-31 00:00:00	2021-04-30 00:00:00	2021-03-31 00:00:00	2021-02-28 00:00:00	2021-01-31 00:00:00	2020-12-31 00:00:00	2020-11-30 00:00:00	2020-10-31 00:00:00	2020-09-30 00:00:00	2020-08-31 00:00:00	2020-07-31 00:00:00	2020-06-30 00:00:00	2020-05-31 00:00:00	2020-04-30 00:00:00	2020-03-31 00:00:00	2020-02-29 00:00:00	2020-01-31 00:00:00	2019-12-31 00:00:00	2019-11-30 00:00:00	2019-10-31 00:00:00	2019-09-30 00:00:00	2019-08-31 00:00:00	2019-07-31 00:00:00	2019-06-30 00:00:00	0	2022-05-31 00:00:00	43	
100070028	202601	NULL	2022-11-11	2022-06-22	2022-11-30	000000000000000000	2022-06-01	2022-11-01	351000	0	0	NULL	351000	765	2022-11-11	Personal Loan	Closed	000	Individual	NOT DISCLOSED	RL	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2022-10-31 00:00:00	2022-09-30 00:00:00	2022-08-31 00:00:00	2022-07-31 00:00:00	2022-06-30 00:00:00	2022-05-31 00:00:00	2022-04-30 00:00:00	2022-03-31 00:00:00	2022-02-28 00:00:00	2022-01-31 00:00:00	2021-12-31 00:00:00	2021-11-30 00:00:00	2021-10-31 00:00:00	2021-09-30 00:00:00	2021-08-31 00:00:00	2021-07-31 00:00:00	2021-06-30 00:00:00	2021-05-31 00:00:00	2021-04-30 00:00:00	2021-03-31 00:00:00	2021-02-28 00:00:00	2021-01-31 00:00:00	2020-12-31 00:00:00	2020-11-30 00:00:00	2020-10-31 00:00:00	2020-09-30 00:00:00	2020-08-31 00:00:00	2020-07-31 00:00:00	2020-06-30 00:00:00	2020-05-31 00:00:00	2020-04-30 00:00:00	2020-03-31 00:00:00	2020-02-29 00:00:00	2020-01-31 00:00:00	2019-12-31 00:00:00	2019-11-30 00:00:00	0	2022-10-31 00:00:00	38	
